ident,name,latitude_deg,longitude_deg,iso_country,iata_code
ENSR,Sørkjosen Airport,69.7867965698,20.959400177,NO,SOJ
ENSS,"Vardø Airport, Svartnes",70.3554000854,31.0449008942,NO,VAW
ENST,"Sandnessjøen Airport, Stokka",65.9568023682,12.4688997269,NO,SSJ
ENTC,Tromsø Airport,69.6832962036,18.9188995361,NO,TOS
ENTO,"Sandefjord Airport, Torp",59.1866989136,10.258600235,NO,TRF
ENVA,"Trondheim Airport, Værnes",63.4578018188,10.9239997864,NO,TRD
ENVD,Vadsø Airport,70.0652999878,29.8446998596,NO,VDS
ENZV,"Stavanger Airport, Sola",58.876701355,5.6377801895,NO,SVG
EPBK,Białystok-Krywlany Airport,53.101398468,23.1706008911,PL,QYY
EPBP,Biała Podlaska Airport,52.0057983398,23.1436004639,PL,BXP
EPBY,Bydgoszcz Ignacy Jan Paderewski Airport,53.0968017578,17.9776992798,PL,BZG
EPCH,Częstochowa-Rudniki,50.8849983215,19.20470047,PL,CZW
EPGD,Gdańsk Lech Wałęsa Airport,54.3776016235,18.4661998749,PL,GDN
EPGL,Gliwice Glider Airport,50.2694015503,18.6728000641,PL,QLC
EPKK,John Paul II International Airport Kraków-Balice Airport,50.0777015686,19.7847995758,PL,KRK
EPKO,Koszalin Zegrze Airport,54.0424995422,16.2656002045,PL,OSZ
EPKT,Katowice International Airport,50.4743003845,19.0799999237,PL,KTW
EPKW,Bielsko-Bialo Kaniow Airfield,49.9399986267,19.0219993591,PL,QEO
EPLL,Łódź Władysław Reymont Airport,51.7219009399,19.3980998993,PL,LCJ
EPLR,Lublin Radwiec Airport,51.2219009399,22.3946990967,PL,QLU
EPNT,Nowy Targ Airport,49.4627990723,20.0503005981,PL,QWS
EPOK,Oksywie Military Air Base,54.57970047,18.51720047,PL,QYD
EPOP,Opole-Polska Nowa Wieś Airport,50.6333007812,17.7817001343,PL,QPM
EPPO,Poznań-Ławica Airport,52.4210014343,16.8262996674,PL,POZ
EPRZ,Rzeszów-Jasionka Airport,50.1100006104,22.0189990997,PL,RZE
EPSC,"Szczecin-Goleniów ""Solidarność"" Airport",53.5847015381,14.9021997452,PL,SZZ
EPWA,Warsaw Chopin Airport,52.1656990051,20.9671001434,PL,WAW
EPWR,Copernicus Wrocław Airport,51.1026992798,16.885799408,PL,WRO
EPZG,Zielona Góra-Babimost Airport,52.1385002136,15.7986001968,PL,IEG
ERT,Erdenet Airport,48.9830555556,104.150555556,MN,ERT
ESDF,Ronneby Airport,56.2667007446,15.2650003433,SE,RNB
ESFA,Hässleholm Bokeberg Airport,56.1344069918,13.8756465912,SE,XWP
ESGG,Gothenburg-Landvetter Airport,57.6627998352,12.279800415,SE,GOT
ESGJ,Jönköping Airport,57.757598877,14.0686998367,SE,JKG
